,event_title,date,location
172,UFC Fight Night: Swanson vs. Ortega,09-2017-12,"Fresno, California, USA"
173,UFC 218: Holloway vs. Aldo 2,02-2017-12,"Detroit, Michigan, USA"
174,The Ultimate Fighter: A New World Champion Finale,01-2017-12,"Las Vegas, Nevada, USA"
175,UFC Fight Night: Bisping vs. Gastelum,25-2017-11,"Shanghai, Hebei, China"
176,UFC Fight Night: Werdum vs. Tybura,18-2017-11,"Sydney, New South Wales, Australia"
177,UFC Fight Night: Poirier vs. Pettis,11-2017-11,"Norfolk, Virginia, USA"
178,UFC 217: Bisping vs. St-Pierre,04-2017-11,"New York City, New York, USA"
179,UFC Fight Night: Brunson vs. Machida,28-2017-10,"Sao Paulo, Sao Paulo, Brazil"
180,UFC Fight Night: Cerrone vs. Till,21-2017-10,"Gdansk, Poland"
181,UFC 216: Ferguson vs. Lee,07-2017-10,"Las Vegas, Nevada, USA"
182,UFC Fight Night: Saint Preux vs. Okami,22-2017-09,"Saitama, Saitama, Japan"
183,UFC Fight Night: Rockhold vs. Branch,16-2017-09,"Pittsburgh, Pennsylvania, USA"
184,UFC 215: Nunes vs Shevchenko 2,09-2017-09,"Edmonton, Alberta, Canada"
185,UFC Fight Night: Volkov vs. Struve,02-2017-09,"Rotterdam, Zuid-Holland, Netherlands"
186,UFC Fight Night: Pettis vs. Moreno,05-2017-08,"Mexico City, Distrito Federal, Mexico"
187,UFC 214: Cormier vs. Jones 2,29-2017-07,"Anaheim, California, USA"
188,UFC Fight Night: Weidman vs. Gastelum,22-2017-07,"Uniondale, New York, USA"
189,UFC Fight Night: Nelson vs. Ponzinibbio,16-2017-07,"Glasgow, Scotland, United Kingdom"
190,UFC 213: Romero vs. Whittaker,08-2017-07,"Las Vegas, Nevada, USA"
191,The Ultimate Fighter: Redemption Finale,07-2017-07,"Las Vegas, Nevada, USA"
192,UFC Fight Night: Chiesa vs. Lee,25-2017-06,"Oklahoma City, Oklahoma, USA"
193,UFC Fight Night: Holm vs. Correia,17-2017-06,"Kallang, Singapore"
194,UFC Fight Night: Lewis vs. Hunt,10-2017-06,"Auckland, New Zealand"
195,UFC 212: Aldo vs. Holloway,03-2017-06,"Rio de Janeiro, Rio de Janeiro, Brazil"
196,UFC Fight Night: Gustafsson vs. Teixeira,28-2017-05,"Stockholm, Sweden"
197,UFC 211: Miocic vs. Dos Santos,13-2017-05,"Dallas, Texas, USA"
198,UFC Fight Night: Swanson vs. Lobov,22-2017-04,"Nashville, Tennessee, USA"
199,UFC on FOX: Johnson vs. Reis,15-2017-04,"Kansas City, Missouri, USA"
200,UFC 210: Cormier vs. Johnson 2,08-2017-04,"Buffalo, New York, USA"
201,UFC Fight Night: Manuwa vs. Anderson,18-2017-03,"London, England, United Kingdom"
202,UFC Fight Night: Belfort vs. Gastelum,11-2017-03,"Fortaleza, Ceara, Brazil"
203,UFC 209: Woodley vs. Thompson 2,04-2017-03,"Las Vegas, Nevada, USA"
204,UFC Fight Night: Lewis vs. Browne,19-2017-02,"Halifax, Nova Scotia, Canada"
205,UFC 208: Holm vs. De Randamie,11-2017-02,"Brooklyn, New York, USA"
206,UFC Fight Night: Bermudez vs. The Korean Zombie,04-2017-02,"Houston, Texas, USA"
207,UFC on FOX: Shevchenko vs. Pena,28-2017-01,"Denver, Colorado, USA"
208,UFC Fight Night: Rodriguez vs. Penn,15-2017-01,"Phoenix, Arizona, USA"
209,UFC 207: Nunes vs. Rousey,30-2016-12,"Las Vegas, Nevada, USA"
210,UFC on FOX: VanZant vs. Waterson,17-2016-12,"Sacramento, California, USA"
211,UFC 206: Holloway vs. Pettis,10-2016-12,"Toronto, Ontario, Canada"
212,UFC Fight Night: Lewis vs. Abdurakhimov,09-2016-12,"Albany, New York, USA"
213,The Ultimate Fighter: Tournament of Champions Finale,03-2016-12,"Las Vegas, Nevada, USA"
214,UFC Fight Night: Whittaker vs. Brunson,26-2016-11,"Melbourne, Victoria, Australia"
215,UFC Fight Night: Bader vs. Nogueira,19-2016-11,"Sao Paulo, Sao Paulo, Brazil"
216,UFC Fight Night: Mousasi vs. Hall 2,19-2016-11,"Belfast, Northern Ireland, United Kingdom"
217,UFC 205: Alvarez vs McGregor,12-2016-11,"New York City, New York, USA"
218,UFC Fight Night: Dos Anjos vs. Ferguson,05-2016-11,"Mexico City, Distrito Federal, Mexico"
219,UFC 204: Bisping vs. Henderson,08-2016-10,"Manchester, England, United Kingdom"
220,UFC Fight Night: Lineker vs. Dodson,01-2016-10,"Portland, Oregon, USA"
221,UFC Fight Night: Cyborg vs. Lansberg,24-2016-09,"Brasilia, Distrito Federal, Brazil"
222,UFC Fight Night: Poirier vs. Johnson,17-2016-09,"Hidalgo, Texas, USA"
223,UFC 203: Miocic vs. Overeem,10-2016-09,"Cleveland, Ohio, USA"
224,UFC Fight Night: Arlovski vs. Barnett,03-2016-09,"Hamburg, Hamburg, Germany"
225,UFC on FOX: Maia vs. Condit,27-2016-08,"Vancouver, British Columbia, Canada"
226,UFC 202: Diaz vs. McGregor 2,20-2016-08,"Las Vegas, Nevada, USA"
227,UFC Fight Night: Rodriguez vs. Caceres,06-2016-08,"Salt Lake City, Utah, USA"
228,UFC 201: Lawler vs. Woodley,30-2016-07,"Atlanta, Georgia, USA"
229,UFC on FOX: Holm vs. Shevchenko,23-2016-07,"Chicago, Illinois, USA"
230,UFC Fight Night: McDonald vs. Lineker,13-2016-07,"Sioux Falls, South Dakota, USA"
231,UFC 200: Tate vs Nunes,09-2016-07,"Las Vegas, Nevada, USA"
232,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,08-2016-07,"Las Vegas, Nevada, USA"
233,UFC Fight Night: Dos Anjos vs. Alvarez,07-2016-07,"Las Vegas, Nevada, USA"
234,UFC Fight Night: MacDonald vs Thompson,18-2016-06,"Ottawa, Ontario, Canada"
235,UFC 199: Rockhold vs. Bisping 2,04-2016-06,"Los Angeles, California, USA"
236,UFC Fight Night: Almeida vs Garbrandt,29-2016-05,"Las Vegas, Nevada, USA"
237,UFC 198: Werdum vs Miocic,14-2016-05,"Curitiba, Parana, Brazil"
238,UFC Fight Night: Overeem vs Arlovski,08-2016-05,"Rotterdam, Zuid-Holland, Netherlands"
239,UFC 197: Jones vs Saint Preux,23-2016-04,"Las Vegas, Nevada, USA"
240,UFC on FOX: Teixeira vs Evans,16-2016-04,"Tampa, Florida, USA"
241,UFC Fight Night: Rothwell vs Dos Santos,10-2016-04,"Zagreb, Croatia"
242,UFC Fight Night: Hunt vs Mir,19-2016-03,"Brisbane, Queensland, Australia"
243,UFC 196: McGregor vs Diaz,05-2016-03,"Las Vegas, Nevada, USA"
244,UFC Fight Night: Silva vs Bisping,27-2016-02,"London, England, United Kingdom"
245,UFC Fight Night: Cowboy vs Cowboy,21-2016-02,"Pittsburgh, Pennsylvania, USA"
246,UFC Fight Night: Hendricks vs Thompson,06-2016-02,"Las Vegas, Nevada, USA"
247,UFC on FOX: Johnson vs. Bader,30-2016-01,"Newark, New Jersey, USA"
248,UFC Fight Night: Dillashaw vs Cruz,17-2016-01,"Boston, Massachusetts, USA"
249,UFC 195: Lawler vs Condit,02-2016-01,"Las Vegas, Nevada, USA"
250,UFC on FOX: Dos Anjos vs. Cowboy 2,19-2015-12,"Orlando, Florida, USA"
251,UFC 194: Aldo vs McGregor,12-2015-12,"Las Vegas, Nevada, USA"
252,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,11-2015-12,"Las Vegas, Nevada, USA"
253,UFC Fight Night: Namajunas vs. VanZant,10-2015-12,"Las Vegas, Nevada, USA"
254,UFC Fight Night: Henderson vs Masvidal,28-2015-11,"Seoul, South Korea"
255,UFC Fight Night: Magny vs Gastelum,21-2015-11,"Monterrey, Nuevo Leon, Mexico"
256,UFC 193: Rousey vs Holm,14-2015-11,"Melbourne, Victoria, Australia"
257,UFC Fight Night: Belfort vs Henderson 3,07-2015-11,"Sao Paulo, Sao Paulo, Brazil"
258,UFC Fight Night: Holohan vs Smolka,24-2015-10,"Dublin, Leinster, Ireland"
259,UFC 192: Cormier vs Gustafsson,03-2015-10,"Houston, Texas, USA"
260,UFC Fight Night: Barnett vs Nelson,26-2015-09,"Saitama, Japan"
261,UFC 191: Johnson vs Dodson 2,05-2015-09,"Las Vegas, Nevada, USA"
262,UFC Fight Night: Holloway vs Oliveira,23-2015-08,"Saskatoon, Saskatchewan, Canada"
263,UFC Fight Night: Teixeira vs Saint Preux,08-2015-08,"Nashville, Tennessee, USA"
264,UFC 190: Rousey vs Correia,01-2015-08,"Rio de Janeiro, Rio de Janeiro, Brazil"
265,UFC on FOX: Dillashaw vs. Barao II,25-2015-07,"Chicago, Illinois, USA"
266,UFC Fight Night: Bisping vs Leites,18-2015-07,"Glasgow, Scotland, United Kingdom"
267,UFC Fight Night: Mir vs Duffee,15-2015-07,"San Diego, California, USA"
268,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,12-2015-07,"Las Vegas, Nevada, USA"
269,UFC 189: Mendes vs McGregor,11-2015-07,"Las Vegas, Nevada, USA"
270,UFC Fight Night: Machida vs Romero,27-2015-06,"Hollywood, Florida, USA"
271,UFC Fight Night: Jedrzejczyk vs Penne,20-2015-06,"Berlin, Berlin, Germany"
272,UFC 188: Velasquez vs Werdum,13-2015-06,"Mexico City, Distrito Federal, Mexico"
273,UFC Fight Night: Boetsch vs Henderson,06-2015-06,"New Orleans, Louisiana, USA"
274,UFC Fight Night: Condit vs Alves,30-2015-05,"Goiania, Goias, Brazil"
275,UFC 187: Johnson vs Cormier,23-2015-05,"Las Vegas, Nevada, USA"
276,UFC Fight Night: Edgar vs Faber,16-2015-05,"Manila, Philippines"
277,UFC Fight Night: Miocic vs Hunt,09-2015-05,"Adelaide, South Australia, Australia"
278,UFC 186: Johnson vs Horiguchi,25-2015-04,"Montreal, Quebec, Canada"
279,UFC on FOX: Machida vs Rockhold,18-2015-04,"Newark, New Jersey, USA"
280,UFC Fight Night: Gonzaga vs Cro Cop 2,11-2015-04,"Krakow, Poland"
281,UFC Fight Night: Mendes vs Lamas,04-2015-04,"Fairfax, Virginia, USA"
282,UFC Fight Night: Maia vs LaFlare,21-2015-03,"Rio de Janeiro, Brazil"
283,UFC 185: Pettis vs Dos Anjos,14-2015-03,"Dallas, Texas, USA"
284,UFC 184: Rousey vs Zingano,28-2015-02,"Los Angeles, California, USA"
285,UFC Fight Night: Bigfoot vs Mir,22-2015-02,"Porto Alegre, Rio Grande do Sul, Brazil"
286,UFC Fight Night: Henderson vs Thatch,14-2015-02,"Broomfield, Colorado, USA"
287,UFC 183: Silva vs Diaz,31-2015-01,"Las Vegas, Nevada, USA"
288,UFC on FOX: Gustafsson vs Johnson,24-2015-01,"Stockholm, Sweden"
289,UFC Fight Night: McGregor vs Siver,18-2015-01,"Boston, Massachusetts, USA"
290,UFC 182: Jones vs Cormier,03-2015-01,"Las Vegas, Nevada, USA"
291,UFC Fight Night: Machida vs Dollaway,20-2014-12,"Barueri, Sao Paulo, Brazil"
292,UFC on FOX: Dos Santos vs Miocic,13-2014-12,"Phoenix, Arizona, USA"
293,The Ultimate Fighter: A Champion Will Be Crowned Finale,12-2014-12,"Las Vegas, Nevada, USA"
294,UFC 181: Hendricks vs Lawler II,06-2014-12,"Las Vegas, Nevada, USA"
295,UFC Fight Night: Edgar vs Swanson,22-2014-11,"Austin, Texas, USA"
296,UFC 180: Werdum vs Hunt,15-2014-11,"Mexico City, Distrito Federal, Mexico"
297,UFC Fight Night 56: Shogun vs Saint Preux,08-2014-11,"Uberlandia, Minas Gerais, Brazil"
